_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66bebef291888c3435c68499,,81.57,97.14,81.57,66.61,102;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1723776754000
66bebee191888c3435c6841f,,78.36,96.3,84.75,71.22,98;2;0;0,time,15,-1,1,15.01,0,0.34,false,false,indonesian,,normal,false,false,false,,1723776737000
66be4e8191888c3435c30788,,73.57,96.88,73.57,68.34,92;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1723747969000
669e65d77ad1c2217ece8be9,,81.57,96.23,81.57,64.79,102;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1721656791000
669e65c87ad1c2217ece8b24,,73.58,94,73.58,63,92;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1721656776000
669e140d82df16123dda8736,,88.79,100,88.79,78.04,111;0;0;0,time,15,-1,6,15,0,22.78,false,false,indonesian,,normal,false,false,false,,1721635853000
669dfd7a82df16123dd9c563,,64.78,91.21,67.98,69.63,81;2;0;0,time,15,-1,2,15,0,3.09,false,false,indonesian,,normal,false,false,false,,1721630074000
669df95582df16123dd9a040,,63.98,87.39,86.38,70.89,80;7;0;1,time,15,-1,1,15,0,1.78,false,false,indonesian,,normal,false,false,false,,1721629013000
669967bb82df16123db83dcd,,80.79,97.12,80.79,65.69,101;0;0;0,time,15,-1,1,15,0,0.08,false,false,indonesian,,normal,false,false,false,,1721329595000
669967a982df16123db83d0f,,68.77,92.47,68.77,68.73,86;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1721329577000
668d7bf28fe0103e5f8ae02c,,74.4,96.88,74.4,76.62,93;0;0;0,time,15,-1,1,15,0,11.73,false,false,indonesian,,normal,false,false,false,,1720548338000
668d7bd58fe0103e5f8adf2e,,53.57,91.46,59.17,61.15,67;1;0;0,time,15,-1,1,15.01,0,13.68,false,false,indonesian,,normal,false,false,false,,1720548309000
668d7bb68fe0103e5f8addf3,,71.94,93.27,78.34,78.63,90;4;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1720548278000
668d7ba68fe0103e5f8add59,,75.14,90.65,82.33,66.88,94;4;1;0,time,15,-1,4,15.01,0,22.83,false,false,indonesian,,normal,false,false,false,,1720548262000
668d7b7a8fe0103e5f8adbb2,,78.34,96.26,80.74,61.76,98;1;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1720548218000
667067336dc967ef98664569,,71.99,93.75,71.99,65.4,90;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1718642483000
667067226dc967ef986644b2,,78.4,97.03,78.4,70.56,98;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1718642466000
667067126dc967ef98664407,,76.73,98.97,76.73,84.16,96;0;0;0,time,15,-1,2,15.01,0,7.19,false,false,indonesian,,normal,false,false,false,,1718642450000
667066f76dc967ef98664304,,71.18,93.75,71.18,68.34,89;0;0;0,time,15,-1,2,15,0,4.9,false,false,indonesian,,normal,false,false,false,,1718642423000
667066e06dc967ef98664208,,83.18,95.41,83.18,74.15,104;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1718642400000
